trial 0 t18.60905 lA True rA True pd1 3.959549 pd2 4.05661 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (27.7, 1.4, -19.0) go2 (-28.3, 5.1, -22.1)
trial 0 t18.63109 lA True rA True pd1 3.959579 pd2 4.055527 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (27.7, 1.4, -19.1) go2 (-28.3, 5.1, -22.1)
trial 0 t18.65365 lA True rA True pd1 3.963776 pd2 4.042038 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (27.7, 1.4, -19.1) go2 (-28.3, 5.1, -22.1)
trial 0 t18.67595 lA True rA True pd1 3.963715 pd2 4.042236 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (27.7, 1.4, -19.1) go2 (-28.3, 5.1, -22.1)
trial 0 t18.69837 lA True rA True pd1 3.963837 pd2 4.04512 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (27.7, 1.4, -19.1) go2 (-28.3, 5.1, -22.1)
trial 0 t18.73213 lA True rA True pd1 3.963409 pd2 4.046417 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (27.7, 1.4, -19.1) go2 (-28.3, 5.1, -22.1)
trial 0 t18.75413 lA True rA True pd1 3.963013 pd2 4.0448 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (27.7, 1.4, -19.1) go2 (-28.4, 5.1, -22.1)
trial 0 t18.77636 lA True rA True pd1 3.962769 pd2 4.014664 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (27.7, 1.4, -19.1) go2 (-28.4, 5.1, -22.1)
trial 0 t18.79846 lA True rA True pd1 3.96225 pd2 4.014786 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (27.7, 1.4, -19.1) go2 (-28.4, 5.1, -22.1)
trial 0 t18.8204 lA True rA True pd1 3.956436 pd2 4.004074 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (27.6, 1.4, -19.1) go2 (-28.4, 5.1, -22.1)
trial 0 t18.84265 lA True rA True pd1 3.885788 pd2 3.993011 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (27.6, 1.5, -19.1) go2 (-28.4, 5.1, -22.1)
trial 0 t18.86515 lA True rA True pd1 3.784607 pd2 3.915039 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (27.7, 1.5, -19.3) go2 (-28.4, 5.2, -22.2)
