trial 0 t24.18865 lA True rA True pd1 2.824478 pd2 2.686035 eo1 1 eo2 1 pp1 (0.5, 0.3) pp2 (0.5, 0.5) gd1 (-0.1, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (33.1, 6.7, -22.9) go2 (-30.8, 0.8, -23.7)
trial 0 t24.22202 lA True rA True pd1 2.845993 pd2 2.688965 eo1 1 eo2 1 pp1 (0.5, 0.3) pp2 (0.5, 0.5) gd1 (-0.1, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (33.1, 6.6, -22.7) go2 (-30.8, 0.7, -23.7)
trial 0 t24.24398 lA True rA True pd1 2.808243 pd2 2.770737 eo1 1 eo2 1 pp1 (0.5, 0.3) pp2 (0.5, 0.5) gd1 (-0.1, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (33.1, 6.6, -22.8) go2 (-30.9, 0.7, -23.7)
trial 0 t24.26626 lA True rA True pd1 2.844879 pd2 2.749069 eo1 1 eo2 1 pp1 (0.5, 0.3) pp2 (0.5, 0.5) gd1 (-0.1, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (33.1, 6.6, -22.8) go2 (-30.9, 0.7, -24.0)
trial 0 t24.28878 lA True rA True pd1 2.81337 pd2 2.748199 eo1 1 eo2 1 pp1 (0.5, 0.3) pp2 (0.5, 0.5) gd1 (-0.1, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (33.1, 6.6, -22.8) go2 (-30.9, 0.7, -23.7)
trial 0 t24.31098 lA True rA True pd1 2.813797 pd2 2.74884 eo1 1 eo2 1 pp1 (0.5, 0.3) pp2 (0.5, 0.5) gd1 (-0.1, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (33.1, 6.6, -22.8) go2 (-30.9, 0.7, -23.7)
trial 0 t24.33272 lA True rA True pd1 2.825455 pd2 2.740051 eo1 1 eo2 1 pp1 (0.5, 0.3) pp2 (0.5, 0.5) gd1 (-0.1, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (33.1, 6.6, -22.7) go2 (-30.9, 0.7, -24.0)
trial 0 t24.35502 lA True rA True pd1 2.827164 pd2 2.722946 eo1 1 eo2 1 pp1 (0.5, 0.3) pp2 (0.5, 0.5) gd1 (-0.1, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (33.2, 6.6, -22.6) go2 (-30.9, 0.7, -24.0)
trial 0 t24.37721 lA True rA True pd1 2.833939 pd2 2.714432 eo1 1 eo2 1 pp1 (0.5, 0.3) pp2 (0.5, 0.5) gd1 (-0.1, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (33.2, 6.6, -22.4) go2 (-30.9, 0.7, -23.7)
trial 0 t24.39921 lA True rA True pd1 2.834732 pd2 2.728516 eo1 1 eo2 1 pp1 (0.5, 0.3) pp2 (0.5, 0.5) gd1 (-0.1, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (33.2, 6.6, -22.4) go2 (-30.9, 0.7, -23.7)
trial 0 t24.42132 lA True rA True pd1 2.840103 pd2 2.704117 eo1 1 eo2 1 pp1 (0.5, 0.3) pp2 (0.5, 0.5) gd1 (-0.1, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (33.2, 6.5, -22.3) go2 (-30.9, 0.6, -23.6)
trial 0 t24.44336 lA True rA True pd1 2.835434 pd2 2.685104 eo1 1 eo2 1 pp1 (0.5, 0.3) pp2 (0.5, 0.5) gd1 (-0.1, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (33.2, 6.5, -22.3) go2 (-30.9, 0.6, -23.6)
trial 0 t24.46508 lA True rA True pd1 2.77739 pd2 2.682938 eo1 1 eo2 1 pp1 (0.5, 0.3) pp2 (0.5, 0.5) gd1 (-0.1, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (33.2, 6.5, -22.3) go2 (-30.9, 0.6, -23.6)
trial 0 t24.48716 lA True rA True pd1 2.76947 pd2 2.682632 eo1 1 eo2 1 pp1 (0.5, 0.3) pp2 (0.5, 0.5) gd1 (-0.1, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (33.2, 6.5, -22.3) go2 (-30.9, 0.6, -23.6)
trial 0 t24.50919 lA True rA True pd1 2.756378 pd2 2.667831 eo1 1 eo2 1 pp1 (0.5, 0.3) pp2 (0.5, 0.5) gd1 (-0.1, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (33.2, 6.5, -22.3) go2 (-30.9, 0.7, -23.9)
