trial 0 t0 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t27.14305 lA True rA True pd1 3.161957 pd2 2.918121 eo1 0.9108789 eo2 0.7649479 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.3) go2 (-30.9, 0.4, -24.4)
trial 0 t27.17614 lA True rA True pd1 3.158325 pd2 2.948288 eo1 0.9079048 eo2 0.7715301 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.3) go2 (-30.9, 0.4, -24.4)
trial 0 t27.19806 lA True rA True pd1 3.147781 pd2 2.950317 eo1 0.8922268 eo2 0.7652115 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.3) go2 (-30.9, 0.4, -24.4)
trial 0 t27.22021 lA True rA True pd1 3.133789 pd2 2.947647 eo1 0.8975956 eo2 0.7722958 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.3) go2 (-30.9, 0.4, -24.4)
trial 0 t27.24262 lA True rA True pd1 3.131927 pd2 2.934631 eo1 0.8918144 eo2 0.7334024 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.4, 5.8, -22.3) go2 (-31.0, 0.5, -25.0)
trial 0 t27.26431 lA True rA True pd1 3.175903 pd2 3.059265 eo1 0.8981503 eo2 0.7031347 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.9, -22.0) go2 (-30.9, 0.6, -24.8)
trial 0 t27.28669 lA True rA True pd1 3.084198 pd2 3.03894 eo1 0.8981503 eo2 0.7031347 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 6.0, -22.2) go2 (-30.9, 0.7, -24.8)
trial 0 t27.30916 lA True rA True pd1 3.10611 pd2 2.919067 eo1 0.9155037 eo2 0.7206515 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 6.0, -22.2) go2 (-30.8, 0.7, -24.9)
trial 0 t27.33161 lA True rA True pd1 3.159332 pd2 2.94693 eo1 0.9218961 eo2 0.7133429 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 6.0, -22.2) go2 (-30.8, 0.7, -24.8)
trial 0 t27.35342 lA True rA True pd1 3.173431 pd2 2.939987 eo1 0.9083003 eo2 0.7389185 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 6.0, -22.1) go2 (-30.8, 0.7, -24.8)
trial 0 t27.37544 lA True rA True pd1 3.174881 pd2 2.949142 eo1 0.9063898 eo2 0.7283401 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 6.0, -22.1) go2 (-30.8, 0.7, -24.7)
trial 0 t27.39814 lA True rA True pd1 3.175552 pd2 2.935257 eo1 0.9148728 eo2 0.7320604 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 6.0, -22.2) go2 (-30.8, 0.7, -24.7)
trial 0 t27.4205 lA True rA True pd1 3.175339 pd2 2.941727 eo1 0.9087507 eo2 0.754094 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 6.0, -22.2) go2 (-30.8, 0.7, -24.7)
trial 0 t27.44287 lA True rA True pd1 3.186951 pd2 2.941345 eo1 0.9112067 eo2 0.7577844 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 6.0, -22.2) go2 (-30.8, 0.6, -24.7)
trial 0 t27.46519 lA True rA True pd1 3.193726 pd2 2.936096 eo1 0.9135218 eo2 0.7571948 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.2) go2 (-30.8, 0.6, -24.7)
trial 0 t27.48717 lA True rA True pd1 3.205765 pd2 2.937164 eo1 0.8952687 eo2 0.7670586 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.2) go2 (-30.8, 0.6, -24.7)
trial 0 t27.50939 lA True rA True pd1 3.230118 pd2 2.937531 eo1 0.9183303 eo2 0.779284 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.2) go2 (-30.8, 0.6, -24.6)
trial 0 t27.54257 lA True rA True pd1 3.220291 pd2 2.942169 eo1 0.9195236 eo2 0.7598738 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.2) go2 (-30.9, 0.6, -24.6)
trial 0 t27.56543 lA True rA True pd1 3.231064 pd2 2.929718 eo1 0.9259499 eo2 0.7665433 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.2) go2 (-30.9, 0.6, -24.6)
trial 0 t27.58814 lA True rA True pd1 3.24968 pd2 2.930115 eo1 0.9128255 eo2 0.777611 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.2) go2 (-30.9, 0.6, -24.6)
trial 0 t27.60998 lA True rA True pd1 3.277832 pd2 2.966415 eo1 0.908519 eo2 0.7849191 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.1) go2 (-30.9, 0.5, -24.3)
trial 0 t27.63219 lA True rA True pd1 3.291077 pd2 2.954056 eo1 0.9253913 eo2 0.8029611 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.1) go2 (-30.9, 0.5, -24.3)
trial 0 t27.65466 lA True rA True pd1 3.310181 pd2 3.000626 eo1 0.9273937 eo2 0.7943669 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.1) go2 (-30.9, 0.5, -24.3)
trial 0 t27.67696 lA True rA True pd1 3.318359 pd2 3.023438 eo1 0.9219632 eo2 0.7813919 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.1) go2 (-30.9, 0.5, -24.3)
trial 0 t27.69888 lA True rA True pd1 3.319 pd2 3.034286 eo1 0.9325953 eo2 0.7914243 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.3, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.6, 5.9, -22.2) go2 (-30.9, 0.5, -24.3)
