trial 0 t0 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t26.92077 lA True rA True pd1 3.298828 pd2 2.967651 eo1 0.9847589 eo2 0.8897872 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.2) go2 (-30.9, 0.6, -25.0)
trial 0 t26.94265 lA True rA True pd1 3.280197 pd2 2.967041 eo1 0.9850072 eo2 0.8787524 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.2) go2 (-30.9, 0.6, -25.1)
trial 0 t26.96513 lA True rA True pd1 3.274185 pd2 2.95369 eo1 0.9678611 eo2 0.8511689 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.2) go2 (-30.9, 0.6, -25.1)
trial 0 t26.98691 lA True rA True pd1 3.258041 pd2 2.952148 eo1 0.9725554 eo2 0.8732601 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.2) go2 (-30.9, 0.6, -25.1)
trial 0 t27.0092 lA True rA True pd1 3.236893 pd2 2.945282 eo1 0.9816245 eo2 0.8598343 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.3) go2 (-30.9, 0.6, -25.0)
trial 0 t27.03167 lA True rA True pd1 3.236481 pd2 2.927353 eo1 0.9564926 eo2 0.8486769 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.3) go2 (-30.9, 0.5, -24.9)
trial 0 t27.05358 lA True rA True pd1 3.231415 pd2 2.904938 eo1 0.9493805 eo2 0.830575 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.3) go2 (-30.9, 0.5, -24.9)
trial 0 t27.07632 lA True rA True pd1 3.212921 pd2 2.898666 eo1 0.9378849 eo2 0.8330255 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.3) go2 (-30.9, 0.5, -24.8)
trial 0 t27.09869 lA True rA True pd1 3.209045 pd2 2.903931 eo1 0.9378765 eo2 0.8027567 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.3) go2 (-30.9, 0.5, -24.8)
trial 0 t27.121 lA True rA True pd1 3.161621 pd2 2.904968 eo1 0.9114356 eo2 0.7813142 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.3) go2 (-30.9, 0.5, -24.8)
