trial 0 t15.13689 lA True rA True pd1 3.641327 pd2 3.433136 eo1 0.8523811 eo2 0.9808713 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (0.0, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (32.9, 2.7, -26.4) go2 (-28.1, 7.5, -24.7)
trial 0 t15.15922 lA True rA True pd1 3.634567 pd2 3.435822 eo1 0.8544232 eo2 0.9774902 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (0.0, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (32.9, 2.7, -26.4) go2 (-28.1, 7.5, -24.6)
trial 0 t15.18191 lA True rA True pd1 3.607605 pd2 3.532227 eo1 0.8444273 eo2 0.9679949 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (0.0, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (32.9, 2.7, -26.4) go2 (-28.1, 7.5, -24.6)
trial 0 t15.20413 lA True rA True pd1 3.420883 pd2 3.353668 eo1 0.840346 eo2 0.9459242 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (32.7, 2.8, -26.5) go2 (-28.2, 7.6, -24.6)
trial 0 t15.22606 lA True rA True pd1 3.279633 pd2 3.48584 eo1 0.8478144 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (32.4, 3.1, -26.9) go2 (-28.4, 7.8, -24.6)
trial 0 t15.24822 lA True rA True pd1 3.396942 pd2 3.345734 eo1 0.8516781 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (32.4, 3.0, -26.7) go2 (-28.3, 7.6, -23.8)
trial 0 t15.27013 lA True rA True pd1 3.192673 pd2 3.379791 eo1 0.8571842 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.5, 3.0, -26.7) go2 (-28.3, 7.6, -23.7)
trial 0 t15.30321 lA True rA True pd1 3.203094 pd2 3.275299 eo1 0.8711707 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.5, 3.0, -26.8) go2 (-28.3, 7.6, -24.5)
trial 0 t15.3253 lA True rA True pd1 3.205261 pd2 3.286713 eo1 0.8749337 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.5, 3.0, -26.7) go2 (-28.3, 7.5, -23.7)
trial 0 t15.3476 lA True rA True pd1 3.194763 pd2 3.271469 eo1 0.8922553 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.5, 3.0, -26.7) go2 (-28.3, 7.5, -23.7)
trial 0 t15.3695 lA True rA True pd1 3.012238 pd2 3.194214 eo1 0.8986037 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.5, 2.8, -26.3) go2 (-28.3, 7.5, -23.7)
trial 0 t15.39185 lA True rA True pd1 2.997543 pd2 3.137589 eo1 0.9040619 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.5, 2.8, -26.3) go2 (-28.3, 7.5, -23.6)
trial 0 t15.4139 lA True rA True pd1 2.992294 pd2 3.077011 eo1 0.9065369 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.5, 2.8, -26.2) go2 (-28.3, 7.5, -23.6)
trial 0 t15.43647 lA True rA True pd1 2.978577 pd2 3.039047 eo1 0.910179 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.5, 2.8, -26.2) go2 (-28.3, 7.5, -23.6)
trial 0 t15.45888 lA True rA True pd1 2.898468 pd2 3.021881 eo1 0.9072775 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.4, 2.8, -26.2) go2 (-28.4, 7.5, -23.7)
trial 0 t15.48084 lA True rA True pd1 2.780151 pd2 2.987946 eo1 0.9109192 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.4, 2.8, -26.2) go2 (-28.4, 7.5, -23.7)
trial 0 t15.50334 lA True rA True pd1 2.764984 pd2 2.958939 eo1 0.9158924 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.4, 2.8, -26.2) go2 (-28.4, 7.5, -23.7)
trial 0 t15.5253 lA True rA True pd1 2.539185 pd2 2.88765 eo1 0.9310675 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.1) go2 (-28.2, 7.6, -23.9)
trial 0 t15.54728 lA True rA True pd1 2.537613 pd2 2.887878 eo1 0.9316058 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.1) go2 (-28.2, 7.6, -23.9)
trial 0 t15.56923 lA True rA True pd1 2.534424 pd2 2.833237 eo1 0.9370963 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.1) go2 (-28.2, 7.6, -23.9)
trial 0 t15.59171 lA True rA True pd1 2.514145 pd2 2.793686 eo1 0.9363433 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.1) go2 (-28.2, 7.6, -24.0)
trial 0 t15.62466 lA True rA True pd1 2.514618 pd2 2.757965 eo1 0.9390992 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.1) go2 (-28.2, 7.6, -24.0)
trial 0 t15.64664 lA True rA True pd1 2.511032 pd2 2.753571 eo1 0.9390992 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.1) go2 (-28.2, 7.6, -24.0)
trial 0 t15.6691 lA True rA True pd1 2.51004 pd2 2.754807 eo1 0.9399227 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.1) go2 (-28.2, 7.6, -24.0)
trial 0 t15.69161 lA True rA True pd1 2.487183 pd2 2.753754 eo1 0.9353364 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.1) go2 (-28.2, 7.6, -24.0)
trial 0 t15.71408 lA True rA True pd1 2.48288 pd2 2.74939 eo1 0.949817 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.6, 2.8, -26.0) go2 (-28.2, 7.6, -24.1)
trial 0 t15.7363 lA True rA True pd1 2.430527 pd2 2.709122 eo1 0.9443936 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.6, 2.7, -26.0) go2 (-28.2, 7.6, -24.1)
trial 0 t15.75907 lA True rA True pd1 2.510315 pd2 2.568451 eo1 0.9462008 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.5, 2.8, -26.2) go2 (-28.3, 7.6, -23.9)
trial 0 t15.78152 lA True rA True pd1 2.517273 pd2 2.595566 eo1 0.9479287 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.4, 2.9, -26.3) go2 (-28.4, 7.6, -23.8)
trial 0 t15.80328 lA True rA True pd1 2.519669 pd2 2.628098 eo1 0.9443984 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.4, 2.9, -26.2) go2 (-28.4, 7.6, -23.8)
trial 0 t15.82557 lA True rA True pd1 2.51976 pd2 2.622101 eo1 0.9472642 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.4, 2.9, -26.2) go2 (-28.4, 7.6, -23.8)
trial 0 t15.84813 lA True rA True pd1 2.519638 pd2 2.625687 eo1 0.9424201 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.4, 2.8, -26.2) go2 (-28.4, 7.6, -23.8)
trial 0 t15.8703 lA True rA True pd1 2.519745 pd2 2.638763 eo1 0.9511101 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.4, 2.9, -26.2) go2 (-28.4, 7.6, -23.8)
trial 0 t15.89277 lA True rA True pd1 2.520294 pd2 2.646042 eo1 0.9496413 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.4, 2.9, -26.2) go2 (-28.4, 7.6, -23.8)
trial 0 t15.91478 lA True rA True pd1 2.506256 pd2 2.661072 eo1 0.9511598 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.4, 2.9, -26.3) go2 (-28.4, 7.5, -23.5)
trial 0 t15.93712 lA True rA True pd1 2.506073 pd2 2.661407 eo1 0.9556945 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.4, 2.9, -26.3) go2 (-28.4, 7.5, -23.4)
trial 0 t15.9592 lA True rA True pd1 2.513443 pd2 2.660919 eo1 0.9550211 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.4, 2.9, -26.3) go2 (-28.4, 7.5, -23.4)
trial 0 t15.98129 lA True rA True pd1 2.528732 pd2 2.4785 eo1 0.9660257 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (32.5, 2.8, -26.1) go2 (-28.2, 7.7, -24.1)
