trial 0 t14.8674 lA True rA True pd1 2.679367 pd2 2.64563 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.1, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.8, -5.9, -21.9) go2 (-32.0, 0.9, -23.8)
trial 0 t14.90068 lA True rA True pd1 2.673523 pd2 2.646973 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.1, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.8, -5.9, -21.9) go2 (-32.0, 0.9, -23.7)
trial 0 t14.92293 lA True rA True pd1 2.661285 pd2 2.64006 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.0, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, -5.9, -22.0) go2 (-32.1, 0.8, -23.7)
trial 0 t14.9451 lA True rA True pd1 2.576111 pd2 2.622635 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.0, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, -5.9, -22.0) go2 (-32.1, 0.8, -23.7)
trial 0 t14.96762 lA True rA True pd1 2.589081 pd2 2.605743 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.0, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, -6.0, -21.9) go2 (-32.1, 0.8, -23.8)
trial 0 t14.98961 lA True rA True pd1 2.594254 pd2 2.600662 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.0, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, -6.0, -21.9) go2 (-32.1, 0.8, -23.8)
trial 0 t15.01156 lA True rA True pd1 2.615509 pd2 2.617783 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.0, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, -6.0, -21.9) go2 (-32.1, 0.8, -23.8)
trial 0 t15.03391 lA True rA True pd1 2.625793 pd2 2.613083 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.0, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, -6.0, -21.9) go2 (-32.1, 0.8, -23.8)
trial 0 t15.05614 lA True rA True pd1 2.616806 pd2 2.612854 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.0, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, -6.0, -21.9) go2 (-32.1, 0.8, -23.8)
trial 0 t15.07843 lA True rA True pd1 2.618683 pd2 2.617233 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.0, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, -6.0, -21.9) go2 (-32.1, 0.8, -23.8)
