trial 0 t50.38629 lA True rA True pd1 4.376678 pd2 4.346924 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (34.2, -0.8, -27.3) go2 (-32.7, 1.6, -26.6)
trial 0 t50.40871 lA True rA True pd1 4.347794 pd2 4.329498 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (34.2, -0.8, -27.3) go2 (-32.7, 1.6, -26.6)
trial 0 t50.43066 lA True rA True pd1 4.315262 pd2 4.315933 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (34.2, -0.8, -27.3) go2 (-32.8, 1.6, -26.6)
trial 0 t50.45251 lA True rA True pd1 4.317261 pd2 4.324249 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (34.2, -0.9, -27.2) go2 (-32.8, 1.6, -26.5)
trial 0 t50.4747 lA True rA True pd1 4.316147 pd2 4.378159 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (34.3, -0.7, -27.3) go2 (-32.7, 1.7, -26.6)
trial 0 t50.49697 lA True rA True pd1 4.260544 pd2 4.300858 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (34.3, -0.7, -27.3) go2 (-32.7, 1.7, -26.5)
trial 0 t50.51929 lA True rA True pd1 4.297867 pd2 4.274658 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (34.3, -0.7, -27.3) go2 (-32.7, 1.7, -26.5)
trial 0 t50.54139 lA True rA True pd1 4.287735 pd2 4.259445 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.7, -27.2) go2 (-32.7, 1.8, -26.5)
trial 0 t50.56358 lA True rA True pd1 4.255234 pd2 4.247787 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.7, -27.2) go2 (-32.7, 1.8, -26.5)
trial 0 t50.58585 lA True rA True pd1 4.276047 pd2 4.253372 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.7, -27.3) go2 (-32.7, 1.8, -26.5)
trial 0 t50.60839 lA True rA True pd1 4.268082 pd2 4.243851 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.7, -27.3) go2 (-32.7, 1.8, -26.5)
trial 0 t50.63031 lA True rA True pd1 4.261307 pd2 4.239563 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.7, -27.3) go2 (-32.7, 1.8, -26.5)
trial 0 t50.65271 lA True rA True pd1 4.228516 pd2 4.225372 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (34.3, -0.7, -27.3) go2 (-32.7, 1.8, -26.5)
trial 0 t50.67477 lA True rA True pd1 4.227448 pd2 4.222534 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (34.3, -0.7, -27.4) go2 (-32.7, 1.8, -26.5)
trial 0 t50.70823 lA True rA True pd1 4.227798 pd2 4.206924 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.7, -27.4) go2 (-32.7, 1.8, -26.5)
trial 0 t50.73031 lA True rA True pd1 4.224823 pd2 4.203323 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.6, -27.4) go2 (-32.7, 1.8, -26.5)
trial 0 t50.75256 lA True rA True pd1 4.091705 pd2 4.317032 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.7, -27.2) go2 (-32.7, 1.8, -26.7)
trial 0 t50.77408 lA True rA True pd1 4.143799 pd2 4.207993 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.6, -27.3) go2 (-32.7, 1.9, -26.8)
trial 0 t50.79652 lA True rA True pd1 4.091873 pd2 4.218719 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.6, -27.3) go2 (-32.7, 1.9, -26.8)
trial 0 t50.81869 lA True rA True pd1 4.095963 pd2 4.213669 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.6, -27.3) go2 (-32.7, 1.9, -26.8)
trial 0 t50.84066 lA True rA True pd1 4.095718 pd2 4.230743 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.6, -27.3) go2 (-32.7, 1.9, -26.8)
trial 0 t50.86269 lA True rA True pd1 4.100647 pd2 4.241821 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.6, -27.3) go2 (-32.7, 1.9, -26.8)
trial 0 t50.88509 lA True rA True pd1 4.122574 pd2 4.251709 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.7, -27.3) go2 (-32.7, 1.9, -26.8)
trial 0 t50.90702 lA True rA True pd1 4.122726 pd2 4.25029 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.7, -27.3) go2 (-32.7, 1.9, -26.8)
trial 0 t50.9295 lA True rA True pd1 4.127258 pd2 4.251312 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.7, -27.2) go2 (-32.7, 1.9, -26.8)
trial 0 t50.95214 lA True rA True pd1 4.127319 pd2 4.251404 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.7, -27.2) go2 (-32.7, 1.9, -26.8)
trial 0 t50.97436 lA True rA True pd1 4.132019 pd2 4.25206 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.7, -27.2) go2 (-32.7, 1.9, -26.8)
trial 0 t50.99667 lA True rA True pd1 4.133072 pd2 4.249054 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.7, -27.2) go2 (-32.7, 1.9, -26.8)
trial 0 t51.01895 lA True rA True pd1 4.133377 pd2 4.248169 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.7, -27.2) go2 (-32.7, 1.9, -26.8)
trial 0 t51.05245 lA True rA True pd1 4.126892 pd2 4.226883 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.3, -0.7, -27.2) go2 (-32.7, 1.9, -26.8)
trial 0 t51.07447 lA True rA True pd1 4.023804 pd2 4.254532 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.2, -0.6, -27.4) go2 (-32.7, 1.9, -26.8)
trial 0 t51.0966 lA True rA True pd1 4.056946 pd2 4.216705 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.2, -0.6, -27.4) go2 (-32.7, 1.9, -26.8)
trial 0 t51.11884 lA True rA True pd1 4.054779 pd2 4.199051 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.2, -0.6, -27.3) go2 (-32.7, 1.9, -26.8)
trial 0 t51.14112 lA True rA True pd1 4.061905 pd2 4.200989 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.2, -0.6, -27.3) go2 (-32.7, 1.9, -26.8)
