trial 0 t20.0669 lA True rA True pd1 4.442459 pd2 4.431198 eo1 1 eo2 1 pp1 (0.6, 0.5) pp2 (0.6, 0.5) gd1 (0.1, -0.1, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (29.9, 1.2, -24.7) go2 (-34.5, 2.0, -31.3)
trial 0 t20.08911 lA True rA True pd1 4.360275 pd2 4.405853 eo1 1 eo2 1 pp1 (0.6, 0.5) pp2 (0.6, 0.5) gd1 (0.1, -0.1, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (29.9, 1.2, -24.7) go2 (-34.5, 2.0, -31.3)
trial 0 t20.11166 lA True rA True pd1 4.35202 pd2 4.398788 eo1 1 eo2 1 pp1 (0.6, 0.5) pp2 (0.6, 0.5) gd1 (0.1, -0.1, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (29.9, 1.2, -24.7) go2 (-34.5, 2.0, -31.3)
trial 0 t20.1337 lA True rA True pd1 4.347366 pd2 4.357742 eo1 1 eo2 1 pp1 (0.6, 0.5) pp2 (0.6, 0.5) gd1 (0.1, -0.1, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (29.9, 1.2, -24.7) go2 (-34.5, 2.0, -31.3)
trial 0 t20.1559 lA True rA True pd1 4.345749 pd2 4.339249 eo1 1 eo2 1 pp1 (0.6, 0.5) pp2 (0.6, 0.5) gd1 (0.1, -0.1, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (29.9, 1.2, -24.7) go2 (-34.5, 2.0, -31.3)
trial 0 t20.17823 lA True rA True pd1 4.224442 pd2 4.280975 eo1 1 eo2 1 pp1 (0.6, 0.5) pp2 (0.6, 0.5) gd1 (0.1, -0.1, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (29.9, 1.3, -24.9) go2 (-34.5, 2.0, -31.2)
trial 0 t20.20059 lA True rA True pd1 4.176926 pd2 4.307724 eo1 1 eo2 1 pp1 (0.6, 0.5) pp2 (0.6, 0.5) gd1 (0.1, -0.1, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (29.9, 1.3, -24.9) go2 (-34.5, 2.0, -31.1)
trial 0 t20.22298 lA True rA True pd1 4.152451 pd2 4.307495 eo1 1 eo2 1 pp1 (0.6, 0.5) pp2 (0.6, 0.5) gd1 (0.1, -0.1, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (29.9, 1.3, -24.9) go2 (-34.5, 2.0, -31.2)
trial 0 t20.24524 lA True rA True pd1 4.179886 pd2 4.301682 eo1 1 eo2 1 pp1 (0.6, 0.5) pp2 (0.6, 0.6) gd1 (0.0, -0.2, 1.0) gd2 (-0.1, -0.2, 1.0) go1 (29.6, 1.1, -25.4) go2 (-34.6, 1.7, -30.9)
trial 0 t20.26731 lA True rA True pd1 4.276947 pd2 4.207092 eo1 1 eo2 1 pp1 (0.6, 0.5) pp2 (0.7, 0.6) gd1 (0.0, -0.2, 1.0) gd2 (-0.2, -0.2, 1.0) go1 (29.3, 0.8, -25.1) go2 (-34.7, 1.5, -31.1)
trial 0 t20.28936 lA True rA True pd1 4.22966 pd2 4.313705 eo1 1 eo2 1 pp1 (0.6, 0.5) pp2 (0.7, 0.6) gd1 (0.0, -0.2, 1.0) gd2 (-0.2, -0.3, 0.9) go1 (29.3, 0.9, -25.3) go2 (-34.8, 1.3, -30.8)
trial 0 t20.32252 lA True rA True pd1 4.218079 pd2 4.451691 eo1 1 eo2 1 pp1 (0.6, 0.5) pp2 (0.7, 0.6) gd1 (0.0, -0.2, 1.0) gd2 (-0.2, -0.3, 0.9) go1 (29.3, 0.8, -25.2) go2 (-34.8, 1.4, -31.0)
