trial 0 t0 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t56.1521 lA True rA True pd1 2.670868 pd2 2.907791 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, 0.1, 1.0) gd2 (0.0, 0.1, 1.0) go1 (33.1, 0.8, -30.3) go2 (-29.0, 2.1, -28.7)
trial 0 t56.17429 lA True rA True pd1 2.669678 pd2 2.910492 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, 0.1, 1.0) gd2 (0.0, 0.1, 1.0) go1 (33.1, 0.8, -30.3) go2 (-29.0, 2.1, -28.7)
trial 0 t56.19698 lA True rA True pd1 2.694778 pd2 2.910522 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, 0.1, 1.0) gd2 (0.0, 0.1, 1.0) go1 (33.1, 0.8, -30.3) go2 (-29.0, 2.1, -28.7)
trial 0 t56.21918 lA True rA True pd1 2.721985 pd2 2.913696 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, 0.1, 1.0) gd2 (0.0, 0.1, 1.0) go1 (33.1, 0.8, -30.3) go2 (-29.0, 2.1, -28.7)
trial 0 t56.24131 lA True rA True pd1 2.729324 pd2 2.914474 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, 0.1, 1.0) gd2 (0.0, 0.1, 1.0) go1 (33.1, 0.8, -30.3) go2 (-29.0, 2.1, -28.7)
trial 0 t56.26432 lA True rA True pd1 2.728165 pd2 2.915115 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, 0.1, 1.0) gd2 (0.0, 0.1, 1.0) go1 (33.1, 0.8, -30.3) go2 (-29.0, 2.0, -28.6)
trial 0 t56.28598 lA True rA True pd1 2.729446 pd2 2.968521 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, 0.1, 1.0) gd2 (0.0, 0.1, 1.0) go1 (33.1, 0.8, -30.3) go2 (-29.0, 2.0, -28.6)
trial 0 t56.30806 lA True rA True pd1 2.729889 pd2 2.951324 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, 0.1, 1.0) gd2 (0.0, 0.1, 1.0) go1 (33.1, 0.8, -30.3) go2 (-29.1, 2.0, -28.5)
trial 0 t56.33027 lA True rA True pd1 2.546555 pd2 2.663132 eo1 0.7082677 eo2 0.6486416 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.1, 0.9, -30.6) go2 (-29.1, 2.1, -28.8)
trial 0 t56.35225 lA True rA True pd1 1.401962 pd2 2.881958 eo1 0 eo2 0.1949723 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, -0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.0, 1.4, -32.1) go2 (-29.1, 2.6, -30.8)
trial 0 t56.38626 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (-1.0, -1.0) pp2 (-1.0, -1.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t56.40863 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (-1.0, -1.0) pp2 (-1.0, -1.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t56.43074 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0.301173 pp1 (-1.0, -1.0) pp2 (-1.0, -1.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t56.45306 lA False rA False pd1 -1 pd2 -1 eo1 0.3330382 eo2 0.5475009 pp1 (-1.0, -1.0) pp2 (-1.0, -1.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t56.47503 lA True rA True pd1 2.212616 pd2 2.785645 eo1 0.8078049 eo2 0.7666359 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, -0.1, 1.0) gd2 (0.0, 0.1, 1.0) go1 (33.1, 1.3, -30.6) go2 (-29.1, 3.1, -31.8)
trial 0 t56.49718 lA True rA True pd1 2.194443 pd2 2.902206 eo1 0.9088143 eo2 0.8492446 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.1, 1.0) go1 (33.1, 1.3, -30.6) go2 (-29.1, 2.6, -29.7)
trial 0 t56.51916 lA True rA True pd1 1.660019 pd2 2.368408 eo1 0.9850259 eo2 0.923801 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.1, 1.4, -31.1) go2 (-29.1, 2.3, -28.3)
trial 0 t56.54101 lA True rA True pd1 2.220001 pd2 2.503433 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.1, 1.1, -30.2) go2 (-29.1, 2.3, -28.3)
trial 0 t56.56363 lA True rA True pd1 2.318909 pd2 2.414963 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.1, 1.1, -30.3) go2 (-29.0, 2.3, -28.5)
trial 0 t56.58566 lA True rA True pd1 2.244873 pd2 2.331345 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.1, 1.1, -30.3) go2 (-29.0, 2.3, -28.2)
trial 0 t56.6076 lA True rA True pd1 2.349884 pd2 2.506897 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.1, 1.1, -30.3) go2 (-29.0, 2.1, -27.9)
trial 0 t56.62974 lA True rA True pd1 2.327713 pd2 2.445374 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.1, 1.1, -30.3) go2 (-29.0, 2.2, -28.0)
trial 0 t56.65181 lA True rA True pd1 2.336487 pd2 2.49437 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 1.1, -30.3) go2 (-29.0, 2.2, -28.0)
trial 0 t56.67388 lA True rA True pd1 2.350098 pd2 2.453461 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 1.1, -30.3) go2 (-29.0, 2.2, -28.3)
trial 0 t56.7071 lA True rA True pd1 2.369308 pd2 2.490845 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 1.1, -30.4) go2 (-29.0, 2.2, -28.4)
trial 0 t56.72967 lA True rA True pd1 2.369232 pd2 2.560776 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 1.1, -30.3) go2 (-29.0, 2.2, -28.4)
trial 0 t56.75206 lA True rA True pd1 2.369247 pd2 2.559967 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 1.1, -30.3) go2 (-29.0, 2.2, -28.5)
trial 0 t56.77483 lA True rA True pd1 2.369263 pd2 2.495743 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 1.1, -30.3) go2 (-29.0, 2.2, -28.5)
trial 0 t56.79656 lA True rA True pd1 2.385208 pd2 2.507034 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 1.1, -30.3) go2 (-29.0, 2.2, -28.5)
trial 0 t56.81866 lA True rA True pd1 2.387619 pd2 2.568115 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 1.1, -30.3) go2 (-29.0, 2.2, -27.9)
trial 0 t56.84122 lA True rA True pd1 2.386383 pd2 2.600311 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 1.1, -30.3) go2 (-29.0, 2.3, -27.9)
trial 0 t56.86379 lA True rA True pd1 2.469803 pd2 2.551895 eo1 1 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 1.2, -30.1) go2 (-29.0, 2.3, -27.9)
trial 0 t56.88594 lA True rA True pd1 2.483856 pd2 2.345383 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (-0.1, 0.0, 1.0) go1 (33.1, 1.1, -30.1) go2 (-29.1, 2.6, -29.8)
trial 0 t56.908 lA True rA True pd1 2.534241 pd2 2.937729 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.2, 0.9, -30.1) go2 (-28.9, 2.1, -28.2)
