trial 0 t38.27238 lA True rA True pd1 4.447647 pd2 4.693054 eo1 0.9948279 eo2 0.9406641 pp1 (0.7, 0.4) pp2 (0.3, 0.4) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (27.3, 4.5, -23.1) go2 (-26.2, 3.1, -21.9)
trial 0 t38.29457 lA True rA True pd1 4.449219 pd2 4.697128 eo1 1 eo2 0.9400713 pp1 (0.7, 0.4) pp2 (0.3, 0.4) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (27.4, 4.5, -23.1) go2 (-26.2, 3.1, -21.9)
trial 0 t38.31641 lA True rA True pd1 4.46666 pd2 4.698181 eo1 0.9971409 eo2 0.9262352 pp1 (0.7, 0.4) pp2 (0.3, 0.4) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (27.4, 4.5, -23.1) go2 (-26.2, 3.1, -21.9)
trial 0 t38.33817 lA True rA True pd1 4.465179 pd2 4.701355 eo1 1 eo2 0.9487143 pp1 (0.7, 0.4) pp2 (0.3, 0.4) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (27.4, 4.5, -23.1) go2 (-26.2, 3.0, -21.8)
trial 0 t38.36085 lA True rA True pd1 4.447922 pd2 4.680695 eo1 1 eo2 0.9343451 pp1 (0.7, 0.4) pp2 (0.3, 0.4) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (27.4, 4.5, -23.1) go2 (-26.2, 3.0, -21.8)
trial 0 t38.38264 lA True rA True pd1 4.441208 pd2 4.654251 eo1 1 eo2 0.9353364 pp1 (0.7, 0.4) pp2 (0.3, 0.4) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (27.4, 4.5, -23.2) go2 (-26.2, 3.0, -21.8)
trial 0 t38.40516 lA True rA True pd1 4.429291 pd2 4.638519 eo1 1 eo2 0.9484835 pp1 (0.7, 0.4) pp2 (0.3, 0.4) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (27.4, 4.5, -23.2) go2 (-26.2, 3.0, -21.7)
trial 0 t38.43866 lA True rA True pd1 4.403 pd2 4.640686 eo1 1 eo2 0.9403313 pp1 (0.7, 0.4) pp2 (0.3, 0.4) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (27.4, 4.6, -23.3) go2 (-26.1, 3.0, -21.7)
trial 0 t38.46068 lA True rA True pd1 4.359589 pd2 4.642731 eo1 1 eo2 0.9505715 pp1 (0.7, 0.4) pp2 (0.3, 0.4) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (27.4, 4.6, -23.4) go2 (-26.1, 3.0, -21.7)
trial 0 t38.48287 lA True rA True pd1 4.362122 pd2 4.645889 eo1 1 eo2 0.9515013 pp1 (0.7, 0.4) pp2 (0.3, 0.4) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.1, 1.0) go1 (27.4, 4.6, -23.4) go2 (-26.1, 3.0, -21.6)
