trial 0 t77.86196 lA True rA True pd1 2.939606 pd2 3.004257 eo1 0.9301866 eo2 1 pp1 (0.4, 0.4) pp2 (0.4, 0.4) gd1 (0.3, 0.0, 1.0) gd2 (0.3, 0.1, 1.0) go1 (34.0, 2.8, -23.2) go2 (-30.8, 3.2, -24.2)
trial 0 t77.88438 lA True rA True pd1 3.047363 pd2 2.956894 eo1 0.9451156 eo2 1 pp1 (0.4, 0.4) pp2 (0.4, 0.4) gd1 (0.4, 0.1, 0.9) gd2 (0.4, 0.1, 0.9) go1 (34.6, 2.8, -22.8) go2 (-29.9, 3.7, -26.0)
trial 0 t77.9061 lA True rA True pd1 3.000031 pd2 3.01059 eo1 0.967838 eo2 1 pp1 (0.4, 0.4) pp2 (0.4, 0.4) gd1 (0.4, 0.1, 0.9) gd2 (0.4, 0.1, 0.9) go1 (34.7, 2.7, -22.5) go2 (-29.9, 3.6, -25.4)
trial 0 t77.92839 lA True rA True pd1 3.030518 pd2 2.983597 eo1 0.9590625 eo2 1 pp1 (0.4, 0.4) pp2 (0.4, 0.4) gd1 (0.4, 0.1, 0.9) gd2 (0.4, 0.1, 0.9) go1 (34.8, 2.6, -22.3) go2 (-29.9, 3.6, -25.4)
trial 0 t77.95057 lA True rA True pd1 3.02597 pd2 2.977097 eo1 0.9632991 eo2 1 pp1 (0.4, 0.4) pp2 (0.4, 0.4) gd1 (0.4, 0.1, 0.9) gd2 (0.4, 0.1, 0.9) go1 (34.8, 2.6, -22.2) go2 (-29.9, 3.6, -25.4)
trial 0 t77.97241 lA True rA True pd1 3.025543 pd2 2.952576 eo1 0.9685066 eo2 1 pp1 (0.4, 0.4) pp2 (0.4, 0.4) gd1 (0.4, 0.1, 0.9) gd2 (0.4, 0.1, 0.9) go1 (34.8, 2.6, -22.2) go2 (-29.9, 3.6, -25.5)
trial 0 t77.99469 lA True rA True pd1 3.020981 pd2 2.950897 eo1 0.9660342 eo2 1 pp1 (0.4, 0.4) pp2 (0.4, 0.4) gd1 (0.4, 0.1, 0.9) gd2 (0.4, 0.1, 0.9) go1 (34.8, 2.6, -22.2) go2 (-29.9, 3.6, -25.4)
trial 0 t78.01728 lA True rA True pd1 3.018051 pd2 2.97496 eo1 0.9548544 eo2 1 pp1 (0.4, 0.4) pp2 (0.4, 0.4) gd1 (0.4, 0.1, 0.9) gd2 (0.4, 0.1, 0.9) go1 (34.8, 2.6, -22.2) go2 (-29.9, 3.6, -25.4)
trial 0 t78.0395 lA True rA True pd1 2.966766 pd2 3.025299 eo1 0.9932801 eo2 1 pp1 (0.4, 0.4) pp2 (0.4, 0.4) gd1 (0.4, 0.1, 0.9) gd2 (0.4, 0.1, 0.9) go1 (34.6, 2.6, -22.4) go2 (-30.3, 3.0, -23.5)
trial 0 t78.06158 lA True rA True pd1 2.885391 pd2 2.960052 eo1 1 eo2 1 pp1 (0.4, 0.4) pp2 (0.5, 0.4) gd1 (0.2, 0.0, 1.0) gd2 (0.1, 0.1, 1.0) go1 (33.1, 1.7, -19.8) go2 (-31.6, 3.0, -23.9)
trial 0 t78.08369 lA True rA True pd1 2.922195 pd2 2.916809 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, 1.9, -20.7) go2 (-32.2, 2.8, -23.5)
trial 0 t78.10569 lA True rA True pd1 2.950317 pd2 2.93219 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.5, 1.7, -19.8) go2 (-32.2, 2.8, -23.5)
trial 0 t78.12772 lA True rA True pd1 2.944153 pd2 2.924881 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.5, 1.7, -19.8) go2 (-32.2, 2.8, -23.5)
trial 0 t78.16096 lA True rA True pd1 2.904556 pd2 2.918411 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, 1.8, -20.2) go2 (-32.2, 2.8, -23.5)
trial 0 t78.18354 lA True rA True pd1 2.93129 pd2 2.914063 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, 1.9, -20.6) go2 (-32.2, 2.8, -23.5)
trial 0 t78.20586 lA True rA True pd1 2.934418 pd2 2.912613 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, 1.9, -20.6) go2 (-32.2, 2.8, -23.4)
trial 0 t78.22839 lA True rA True pd1 2.927155 pd2 2.913376 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, 1.9, -20.6) go2 (-32.3, 2.8, -23.4)
trial 0 t78.25047 lA True rA True pd1 2.894165 pd2 2.908813 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, 1.9, -20.6) go2 (-32.3, 2.8, -23.3)
trial 0 t78.27253 lA True rA True pd1 2.933624 pd2 2.903244 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, 1.9, -20.6) go2 (-32.3, 2.7, -23.2)
trial 0 t78.29426 lA True rA True pd1 2.947128 pd2 2.907639 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, 1.9, -20.7) go2 (-32.3, 2.7, -23.2)
trial 0 t78.31628 lA True rA True pd1 2.924103 pd2 2.905731 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, 1.9, -20.7) go2 (-32.3, 2.7, -23.1)
trial 0 t78.33813 lA True rA True pd1 2.946686 pd2 2.918274 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, 1.9, -20.7) go2 (-32.3, 2.7, -23.1)
trial 0 t78.36034 lA True rA True pd1 2.956451 pd2 2.93811 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, 1.9, -20.7) go2 (-32.3, 2.7, -23.1)
trial 0 t78.38253 lA True rA True pd1 2.964722 pd2 2.962051 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, 1.9, -20.7) go2 (-32.3, 2.7, -23.1)
trial 0 t78.40463 lA True rA True pd1 2.976837 pd2 2.979584 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.6, 1.9, -20.7) go2 (-32.3, 2.7, -23.1)
